TRANSACTION_TYPE_ID,TRANSACTION_TYPE_DESCRIPTION
1,6959V6M5OBQUR36
2,37HKDP9AUYA6MDB
3,B4OAL3EN4TNA3B0
4,6JCDRV2M3WG7X6R
5,HF8ONE2I74CYGUP
6,JLTCR74OY83OKF4
7,OYQ0Q7DR45RWLJP
8,RNPWM0PN4L0G7BK
9,IR2KK5STMET442F
10,MT99C3XFKIKA1QY
11,GOUH39KBZ1YTMWC
12,7NUQJGWUXAUDP70
13,3ZVNUX8DXC9G67G
14,LYVOWY51QAIBWVE
15,KUIQWEKTE7585RW
16,NBYMUV7BUL0LRRQ
17,K4RGNOF8QVCYOA9
18,F6LWM869QQOI34R
19,QYCKSIRE1EDGM3I
20,3W2IG2ZV5BW4UDU
21,77NZRI0T16G9LOS
22,VPTCLU0RAUTL1ET
23,MYE4XBDDDFBY9UF
24,RB0MDLCVSJHTMSF
25,NOBAKMZELCD9J2I
26,DTU2YFJTPRP0QOJ
27,B7E5PV2WYPV2IK0
28,IJEFUUHH5WNBZUZ
29,SIFRD8JQ9P5RA32
30,NR46USGVPREGCGB
31,1W8DXF8GE7HNHVZ
32,BKV3SBJRRNY61CI
33,9GIH2T52G5ZIYQ4
34,KU615R5YPOBZL3E
35,A60W5COWUECR70Z
36,D3HMG8Z4AY9WEX1
37,D8J514F15V5JHIZ
38,W8E39ITMJILYK92
39,5CAMJVSOYO1FTOH
40,TW88M0LWNEAVYB2
41,KYU17RLCUYPSQT0
42,PQIKVXXWBKBHWV0
43,38WRXKNAWERH23T
44,DRV2NJ9L2HP491B
45,M6HI1Z08GBIT09H
46,J0GK3XKRBP7H031
47,IDPSJF93C6X7Q0Q
48,S89R14S5YAYAPXY
49,JPZCC2IVLKUIS81
50,HC0ORC6HSC2UO40
51,VP3VGFUS4WLL1B4
52,GWQC5AQMJ7N28S2
53,7U283EXNLAVBMYI
54,M5NPBKQRZOUMD93
55,5LPELQZ1YYFL8FZ
56,NED2SFEHEYCR9S3
57,XHDMFLBWAT0MHMB
58,KW44JVRY461F4T6
59,H6URBNM5UVT2D5V
60,ZGSGGTHCM13RBJR
61,L1WZR3GA1P9LLQ6
62,4RXY5KUXA8WS1GP
63,JX9QZMT9BMOI0EV
64,GSZUOMQIEHD96HY
65,3OG4V0CUK4H49MM
66,MBH4FP672O75C21
67,UPP5LB24HW5O59S
68,8HKR77LUBIUTVZ4
69,KQ8TVQ6E9D9X7B7
70,KDCJ8ZOYW1FL4YA
71,X5XEI3Y5TK7S7EN
72,POSXAGK4E7WJ3A6
73,2A0S864ZB6CJBE1
74,RRZ0RXXNK4YTLCR
75,6BE6SE0KFQ921U8
76,10AIN5K5FKQK8R9
77,EV5XUBKZLXGDH5R
78,M0CT4T0CNINXS8J
79,6H4TYHAM2ORPPW6
80,NHSGNYMQ6JW7XCW
81,IM9IR5VQ3PFTBDM
82,2R7TFLHKIE9B7AQ
83,CNRDP1SDAV8IVKW
84,9847JG8MLBQZLXO
85,WVEU7F6UYMZ0LGN
86,790FLVFGB3PY1B2
87,KGOHXVCJ1H8VATA
88,9P48LRTT7AT49SV
89,JI3X5IUKTCW2EEC
90,K5AV7ABX6KG3UZ2
91,VM6993I8PA1UEFX
92,HGVY5RIT94UD3U3
93,F5G2X3WS9XHQ6HJ
94,IXP045L11JX7XKK
95,DZ32Q8BFD2SU8U2
96,NPHN7SQSFTJ35C1
97,02ZI36Y576O3YQM
98,JA712PH97SNH295
99,GRDIWUR5DCQB2VH
100,3UGJ0I34IE9BLCW
