ACCOUNT_ID,DESCRIPTION,ACCOUNT_TYPE_ID,USER_ID,OPENING_BALANCE
1,WB3V6DLQ8U,6391,4058,46233
2,KM626912ZC,5067,456,15164
3,JENXBPZ77K,2548,2062,19119
4,04TYOM4MSO,4306,6749,13862
5,QOPM1SV1QQ,4080,874,41564
6,TQ4DGOB4BC,51,2994,5610
7,WYOG02BGVA,253,4312,34015
8,L4KMTWGH6E,4687,3877,13732
9,R9WG33T5C5,5016,3174,8427
10,KUDWRDNDAW,5683,9479,41001
11,QOO1IWGFOT,5202,344,31771
12,SGIUIGL3MY,161,1894,46180
13,NXI9L7NXN5,4114,7460,16623
14,TI0TNT3OL0,5821,1764,11733
15,XZDNNPJ0HD,9533,9354,8622
16,4JWRNCXW3S,5498,2744,40230
17,LT1G1G5EBF,7758,4610,28724
18,2T3JUTPLPO,5062,1839,32268
19,DK8J61K003,1035,3799,26532
20,EGP2VRHC5N,2552,7180,21992
21,YGRTW0ITZ3,925,7865,15734
22,UOYHENQH63,5779,5556,42298
23,K6KCW2BVL1,7288,9026,46299
24,EAQN24KJ2R,836,382,9797
25,SITF2TC5OF,9086,7024,24007
26,BQ3BHQB755,2115,9292,48786
27,RZ6IPAC3TV,8794,3825,36601
28,X8CSEC9O0T,5331,7776,12330
29,ESC09XR10U,2608,8283,24429
30,ZRD9KYX8Q6,9666,8046,7105
31,PNJW9Q47UI,6856,2361,36960
32,RYVPMDKNW0,2734,2193,43026
33,XQKNRHSYRE,1145,6183,49076
34,6N0EY19NV6,5125,8644,27377
35,XIU06F8CV3,6149,7681,22979
36,69X3JIVU3T,3729,1103,34612
37,2ZKZ7LX1IZ,1027,5986,42685
38,QPOGBNJRLA,8249,7116,47619
39,81O5UC3FJI,9798,4778,6716
40,22PLS40RDD,4186,7536,14092
41,G4KMH9CNN7,7839,2438,4172
42,7Y5AZR9PJ0,5032,6203,45772
43,KGJQNKZLF9,2806,2154,43190
44,846W8HYOOA,5651,515,11144
45,19I2IYDO5S,4758,1936,29991
46,25ASLX09O2,3103,9764,37070
47,YPCDMLRGDC,8949,2334,25745
48,7E8L4WME90,7014,5785,10291
49,0VA3PW3ZB7,3983,9238,2562
50,O9NIQGH2VJ,4577,2126,16057
51,VXL8OHZ640,9274,5881,23847
52,LVUGKPUYWV,9724,2501,10789
53,JTN3UTWUQP,6669,6767,11455
54,75VV0PQ8WR,5149,3925,36543
55,LGUHLUI35D,3039,6093,6166
56,O2XI15KNXF,1544,5815,44313
57,0XGSINJSBN,7461,7657,2417
58,TNA76CH6RR,8070,4108,39865
59,ZH63VE2WAV,6829,7470,9149
60,VEXTG1P5E1,7070,6801,3820
61,YIJX6EP3FA,7255,2535,4071
62,ZA1MN2NOUO,7979,4260,42094
