ACCOUNT_TYPE_ID,DESCRIPTION
1,DEWZVKXHR5
2,EOHU3ULDSM
3,67T76ZXCM3
4,PYVZPKEIKJ
5,TSUWMJGRUX
6,WNWXTVEN8E
7,3REHXC6Z4S
8,906QXTGEON
9,M7WT8W2JNA
10,GNS1MYUJ7B
11,Y8PKORBC7Z
12,K5VHJ3MB9R
13,X29EVX7YYP
14,JROAPJDW0E
15,GDNCSBZ1EV
16,Z916X5HMQH
17,UUUXU9YHQP
18,96L5VVDLXQ
19,VPO622A3FL
20,9PHCNN4Y9G
21,1UB6PZEEBI
22,8COMLN5K6F
23,0DOA1U886K
24,W89OL604BC
25,FP20YSLQ7V
26,YQI4OICR4S
27,RN43UDBLHG
28,B9GSUWK1IQ
29,UZUGUDKXM8
30,BOYKW72M4G
31,5V0EAIFMAX
32,OPEU69WIVH
33,TTU0EYMGKI
34,QC4R9LBN09
35,ZTXG7O12AZ
36,3QT6F6H733
37,BKJ61QTLXD
38,3IDJ46RKCJ
39,8MHQWZA8AS
40,W9XWHHUBA5
41,XPAFZK91O9
42,ZINPNEM28Y
43,7LT4IYTBEH
44,SPSMC27C1A
45,UJEYM3FPDM
46,H09YUMN8U9
47,G4GNIGM5J8
48,AEFY6AUCYN
49,VG4CEAD96C
50,18IMKFZBLI
51,TRD68684K0
52,1UQRVV75HD
53,37SJKBQTNO
54,CORTJFHMYR
55,2WJ90TYSZ8
56,YIVM0LD17K
57,J2UZSH99RE
58,Z8W8H9R0K0
59,R2YM50R1N0
60,F6IFLXY5S7
61,RD6Q4O6HVI
62,J91L3Y06E9
63,R38XJPV03T
64,6B0JFCKZEY
65,3WOW8RQIEL
66,BV8J5EZWGI
67,F8I0BPGTCK
68,6XNGXH8JZW
69,BQVVTL9M7K
70,JX9KOC6G61
71,5ULHTSHRFR
72,BXBE6VEECG
73,DYT2EPOYNP
74,VGQD1C1L85
75,F304CORGQV
76,P53BL2D20P
77,B4A7OBMIT9
78,ZVKPWQTOOU
79,25IB7XV8OJ
80,TSN3NIHRA4
81,S3M776XADA
82,KRIJSB0U85
83,OS2EP91GNA
84,37AELMV3YV
85,6I7KE1WJSI
86,N3ZE69O0ET
87,8BVIDY15JX
88,YPLPJTZ8NM
89,HVMW6KCU8P
90,M07C8HYZFH
91,4LCLJ6UOW8
92,ZQ0WSZALWC
93,AUT1UI8FET
94,BLV3YHA0LK
95,XBYFEXELSR
96,1ZN95F04MG
97,KN6TA7DDON
98,QNW5QZAEBB
99,83P0GXD8ZH
100,S2EDJC1LJJ
101,GHYDXLDEBM
102,N4LRMP3YVI
103,U9SNIE7NLX
104,TUYJMMR8JJ
105,V788MN66XP
106,F5GH3Q9NY2
107,B5WO9K0VEY
108,T0MH98C8LC
109,ZHT1L6856O
110,2RYTWG5VN0
111,JHKNKT9BBL
112,4NJIEVC025
113,SABHSTKBEK
114,BGXW63VOGC
115,RJ2RL18BRY
116,5PZNEMB7WL
117,PL1BECUB5T
118,OBA9343R0U
119,0MBULWOEJP
120,MTDJSKKD8W
121,HV41QJGASH
122,6R51O01TJN
123,T6IP2B24T7
124,PZVH0PKBF1
125,1ERNZ23OB7
126,KD2O0AV0GS
127,LHXEAEHM80
128,U4WQE0OMD8
129,ERS6PGF2VV
130,AMNIW8044D
131,AB0O4WRYRF
132,QSPHHCSM3M
133,UWQ9YPGKR0
134,F4DTTAYYI3
135,XN2L7OWLAS
136,32QRTDJCBJ
137,FIAK02N1O5
138,QJB6PDH31B
139,U9IJI095XY
140,B6YW7L1BU7
141,E9B2JX5EOR
142,IQNCU833II
143,K6I1WZGWHR
144,C0538NWKTX
145,6F10ZQFDPE
146,9WMGLDUZGB
147,J0T2T23KOP
148,UPVU8MBAU2
149,3KKUR5T3AN
150,R5JN087MMY
151,WMQQGXYPCU
152,E8VLLKIESG
153,VCGMSE8JAM
154,QAO3L80G2Z
155,O1Z2ELKSRW
156,V51RK1GGNK
157,NSB3CPN4OG
158,WV39VB6OWI
159,XR9OQU9BNJ
160,MBP5H67Q9J
161,K8JQ0ZZGV1
162,4AHDG6O1QT
163,250QWGKXLD
164,4R1V6Y6KWP
165,WL02OAOMVH
166,ADQQPNFKO0
167,M4CI40C8CH
168,S458DRQITU
169,JYK790Y51S
170,P9326JH9TP
171,Y0Z6D0OZ39
