TRANSACTION_ID,DATE,DESCRIPTION,TRANSACTION_TYPE_ID,CATEGORY_ID,ACCOUNT_ID,VALUE
1,29/10/2002,CTN254R014R7LKSK4UT6,5672,2993,3469,34055
2,11/10/1989,QGD3VW6WQD0JISZL1GPA,9747,8499,2314,11101
3,20/02/1997,3Q9CA65AQA4Z2XJOJHSG,1564,1016,3243,3446
4,08/02/2002,SWO5BPNA9HMV4GCHGXJQ,1388,6873,8680,39207
5,23/02/1991,QB5M83ET14W68BGZ4JWW,3161,4905,6315,32625
6,17/10/1997,3ETV6S1KU91Q8QBANFM6,9129,9395,9507,36275
7,11/12/1990,1JRX716OVS5JH92ABKL0,5763,3523,8817,14745
8,13/10/2000,8OS7XQKA8IYCXE70D3LA,5655,9952,1399,44380
9,14/03/1994,495T7ONSHA8TC374JHCX,4444,9221,6623,3848
10,12/09/1992,PN3DGRKI62340Y1D2JA6,703,7530,1488,34787
11,04/01/1991,1DYL2LKOBTTKK1J2BK8E,7973,7071,9746,42305
12,10/12/1989,45JX51HJ0P6J0IU2VRMA,5576,9111,8615,37432
13,20/09/1989,VJNWKR81ZOBV0EH4DDWM,3356,4354,236,2931
14,05/01/1993,ZN65HKS5GMC6KLC3NIKX,6961,8336,9931,30169
15,26/06/1999,RRMUJCEVE5ETQWZ0R5JQ,1653,7554,7620,34918
16,18/03/2003,DUMVDDKJ7Y4C2HQ9B1IM,530,7799,9417,3677
17,23/01/1992,67MJISXFHR44F9IOW2X7,9109,4436,427,31258
18,18/02/1992,2RV08K5FGTGIULJ2AXSP,4303,4144,6898,37534
19,30/07/1978,ND5AJ27QAZ9E0TGG7FNJ,5831,6936,2434,7680
20,19/11/1987,JVUPKDCE4ZZ55YUNG0OI,1917,5107,7713,10542
21,11/03/1982,C1LXV88174WBGRHVU9WR,4124,2034,3211,39681
22,14/01/1977,L4NJWSC3GPYAM8OZZ5EA,9552,8893,349,36462
23,03/01/1982,A7CCXRVYJBSK9OQ0TUHA,3824,187,5895,20307
24,07/09/2003,AAKYSFRUTBKR0OEVKGL9,2656,7307,1989,44047
25,25/12/1982,AXAM8VMTPXDYEO8ZMHH3,5492,3676,2431,42880
26,18/12/1995,OKAONNQYKHU6QO6PN8H1,9268,4907,6843,47835
