TRANSACTION_TYPE_ID,DESCRIPTION
164206,TDQ5RWW1I3GV74N
745760,ZMPHZIW84ULTWF2
165435,OMDQPHLMMHG2O66
360142,N5K1RELOLOLDC8J
119273,LBQ08YLELY1XETQ
183674,0LZEBS2SCVFS2OG
662344,Q6Q3NX74BTP6R9D
534871,SM8I03O65DBPJ76
479648,0KVJVTV9T3UGXCG
609276,ZZIK9LIK9VXKXU9
627594,25LSTO9YM9JGI94
207039,3EYV1RRFGUPSKDD
613011,FR9414DN4O3RIRK
602320,457L6K9W28SW3FF
564434,DQJAYLEKKNITLO1
127052,S6854LYV72M5B6W
587064,SWYVP9O61FRB10R
841321,M1EFFA5RGW79IW9
859865,NG7OT6AWPX73DWQ
187718,M3D3PPKJB8FRHPX
365439,VDJ8AQSCMDQYUK4
640579,G3DBENDIV7UOK5G
149332,O0GGL6P2Z2W4T7K
987482,20C8T5QQ2AK19K5
217440,7Q0A3W42Z8O95MC
503127,0MKZGGZB12KK5XU
480953,0T5SXLZB6OAB1ED
209713,6A6O6ISIVFSC5LB
784035,81UZ3TWI5TLAE86
473566,CBH1OM0DW4UQRR4
964032,QLZB1U43M8S4OSU
255791,80AYYY71V04VB5F
703291,K8QRUKXF3S4G58F
252835,6P1VA2XN4CNABUO
921677,F8LEJ61OUETN083
728730,C8VJVFABQDHC8QX
303868,DLCYC3I1N060H4M
817051,CWXT2M41ZO07CKS
891663,2ELYLWEDH04XGA6
462555,LH2FVJPWPXVLXLI
921333,RWFCCTQ3EB5INN8
134654,E7PELZRN5LLBPC8
522752,A50I9LFJELER3NI
811009,7KVER2A6NKD0VIT
650793,ZSYNI88QYG2K7GE
266896,YCS3AZTR42FPA50
881805,KZD3XOT0LEFVLRV
735081,YNNWJ75W0RI4LYQ
508365,T71OGXRHBKEN8YU
476954,FODW7Q1OJDR06YS
728646,3KWGS36I18SU27K
620845,KLLYTV7JBR9VCSH
901088,5R9UYW1CLN69OY2
530727,OI7SXI8JASO5A2S
167534,CJ0B2KIBONKMGTD
964490,SLDK3PU3Z93T17L
957866,AYK91D7GV0B5SZL
722611,VTVB5EY2YQO3F33
789825,O7DQRS51TTTX9K2
161573,OASZM5L142HUMJU
597768,U3MCZQZ2KRD31Y2
617927,WRF1ORC97JGS80Q
300644,96CHIFPSU4A2CBJ
475851,E9UP711JU8FALY9
561810,HVHIDV9NI759XQC
752375,FPXH91DK5V7S7O9
346574,IKCV95KUQ4CTJXD
331489,M204AZXSVSTVXII
965315,NN2I8JRS0PDN8C0
886515,NKDZAVNAEXJNON4
422582,E2BTPJWK2P9PBWK
263792,TLIMEQ968XNX0PO
320121,H2A259BMYN87BDS
698131,LLR6GMIK53MD1MN
135965,S9KH7NKXGILN731
769577,D502RQ3CJRIKPAO
735680,KI8P6COP0UVP6JN
629608,2BJX0TXA3AWYPA2
968179,CWSUEOGJ86SMTGH
145717,KQEN1WOM180CCLH
849286,15LV2SL0UXP45S7
197959,O5TWGKQXJXFEWOD
673659,3CZ37SMMLRUFA82
957552,NHIN0W0T6A5UXHZ
969031,JL2H2XSJVB0I8F4
941664,HAKPBZIJ7LCKGPW
304088,OO5MKHF966FGGFA
167606,XIV5W6N5JP6RU4V
763005,RR2ADMHITOTP9IC
183064,K0RWFBCOAFCPJS2
684777,BAPU09WYFK3ZYUH
981775,OO4L58E3QXGB0Y1
287997,FZXGGLQNJ0NIQ6P
490743,EH6J34OPFM55X8Q
